Candidate Name,State,District,Position,Website,Twitter Url,Facebook URL,Party Affiliation,Photo URL,Bernie Endorsed? Yes or No,Link_link
Adam Dahl,Wisconsin,Wisconsin 47,State Representative,http://www.adamforassembly.com/,https://twitter.com/AdamDahl,https://www.facebook.com/adamdahl.org/,Independent,https://i.imgur.com/7cAwL5V.jpg,No,https://ourrevolution.com/candidates/adam-dahl
Adrian Fontes,Arizona,Maricopa County,County Recorder,http://www.electfontes.com,https://twitter.com/Adrian_Fontes,https://www.facebook.com/ElectFontes/,Democratic,https://i.imgur.com/w03PGVN.jpg,No,https://ourrevolution.com/candidates/adrian-fontes
Anabel Larumbe,Kansas,Kansas 30,State Senate,http://www.anabelforkansas.com/,https://twitter.com/Anabelforkansas,https://www.facebook.com/anabelforkansas/,Democratic,https://i.imgur.com/atddH4Z.jpg,No,https://ourrevolution.com/candidates/anabel-larumbe
Andru Volinsky,New Hampshire,New Hampshire 2,Executive Council,http://www.volinskynh.com/,https://twitter.com/AndruVolinsky,https://www.facebook.com/AndyVolinsky/,Democratic,https://i.imgur.com/M3SVu7A.jpg,No,https://ourrevolution.com/candidates/andru-volinsky
Anthony Eramo,New York,New York 20,State Assembly,http://www.anthonyeramo.com/,https://twitter.com/Anthony_Eramo,https://www.facebook.com/FriendsOfAnthonyEramo,Democratic,https://i.imgur.com/th9GDcG.jpg,Yes,https://ourrevolution.com/candidates/anthony-eramo
Ben Choi,California,Richmond,City Council,http://www.benchoi4richmond.com/,https://twitter.com/BenChoiRichmond,https://www.facebook.com/BenChoiForRichmondCityCouncil,,https://i.imgur.com/wEtKRN7.jpg,No,https://ourrevolution.com/candidates/ben-choi
Brad Avakian,Oregon,Statewide,Secretary of State,http://www.bradavakian.com/,https://twitter.com/BradAvakian,https://www.facebook.com/BradAvakianOregon,Democratic,https://i.imgur.com/47CdxLw.jpg,No,https://ourrevolution.com/candidates/brad-avakian
Brian Whitecalf,Nebraska,Nebraska 6,Board of Supervisors,http://brianwhitecalf.com,,https://www.facebook.com/BrianWhitecalfcountyboard/,Independent,https://i.imgur.com/GBlru1h.jpg,No,https://ourrevolution.com/candidates/brian-whitecalf
Brianna Lennon,Missouri,Missouri Boone County,Commisioner,http://www.lennonforboone.com,https://twitter.com/briannalennon,https://www.facebook.com/LennonforBoone/,Democratic,https://i.imgur.com/ekN9M8A.jpg,No,https://ourrevolution.com/candidates/brianna-lennon
Brittney Miller,Nevada,Nevada 5,State Assembly,http://www.miller4thepeople.com,https://twitter.com/Miller4AD5,https://www.facebook.com/Miller4AD5/,Democratic,https://i.imgur.com/UvOk6T4.jpg,No,https://ourrevolution.com/candidates/brittney-miller
